"prix","produits","régions","Unit","Date","Value"
"Prix au producteur","Riz local décortiqué","DIOURBEL","FCFA/kg","2018M7","268.333333333333"
"Prix au producteur","Riz local décortiqué","DIOURBEL","FCFA/kg","2018M8","268.333333333333"
"Prix au producteur","Riz local décortiqué","DIOURBEL","FCFA/kg","2018M9","280"
"Prix au producteur","Riz local décortiqué","DIOURBEL","FCFA/kg","2018M10","255"
"Prix au producteur","Riz local décortiqué","DIOURBEL","FCFA/kg","2018M11","255"
"Prix au producteur","Riz local décortiqué","DIOURBEL","FCFA/kg","2018M12","275"
"Prix au producteur","Riz local décortiqué","DIOURBEL","FCFA/kg","2019M1","279.166666666667"
"Prix au producteur","Riz local décortiqué","DIOURBEL","FCFA/kg","2019M2","272.857142857143"
"Prix au producteur","Riz local décortiqué","DIOURBEL","FCFA/kg","2019M3","272.5"
"Prix au producteur","Riz local décortiqué","DIOURBEL","FCFA/kg","2019M4","268.333333333333"
"Prix au producteur","Riz local décortiqué","DIOURBEL","FCFA/kg","2019M5","285"
"Prix au producteur","Riz local décortiqué","DIOURBEL","FCFA/kg","2019M6","278.333333333333"
"Prix au producteur","Riz local décortiqué","DIOURBEL","FCFA/kg","2019M7","290"
"Prix au producteur","Riz local décortiqué","DIOURBEL","FCFA/kg","2019M8","288"
"Prix au producteur","Riz local décortiqué","DIOURBEL","FCFA/kg","2019M9","300"
"Prix au producteur","Riz local décortiqué","DIOURBEL","FCFA/kg","2019M10","278.75"
"Prix au producteur","Riz local décortiqué","DIOURBEL","FCFA/kg","2019M11","278.75"
"Prix au producteur","Riz local décortiqué","DIOURBEL","FCFA/kg","2019M12","294"
"Prix au producteur","Riz local décortiqué","DIOURBEL","FCFA/kg","2020M1","304.166666666667"
"Prix au producteur","Riz local décortiqué","DIOURBEL","FCFA/kg","2020M2","316.666666666667"
"Prix au producteur","Riz local décortiqué","DIOURBEL","FCFA/kg","2020M3","306.25"
"Prix au producteur","Riz local décortiqué","DIOURBEL","FCFA/kg","2020M4","306.25"
"Prix au producteur","Riz local décortiqué","DIOURBEL","FCFA/kg","2020M5","360"
"Prix au producteur","Riz local décortiqué","DIOURBEL","FCFA/kg","2020M6","360"
"Prix au producteur","Riz local décortiqué","DIOURBEL","FCFA/kg","2020M7","316.666666666667"
"Prix au producteur","Riz local décortiqué","DIOURBEL","FCFA/kg","2020M8","350"
"Prix au producteur","Riz local décortiqué","DIOURBEL","FCFA/kg","2020M9","332.352941176471"
"Prix au producteur","Riz local décortiqué","DIOURBEL","FCFA/kg","2020M10","343.75"
"Prix au producteur","Riz local décortiqué","DIOURBEL","FCFA/kg","2020M11","303.125"
"Prix au producteur","Riz local décortiqué","DIOURBEL","FCFA/kg","2020M12","297.5"
"Prix au producteur","Riz local décortiqué","DIOURBEL","FCFA/kg","2021M1","282.142857142857"
"Prix au producteur","Riz local décortiqué","DIOURBEL","FCFA/kg","2021M2","287.5"
"Prix au producteur","Riz local décortiqué","DIOURBEL","FCFA/kg","2021M3","285"
"Prix au producteur","Riz local décortiqué","DIOURBEL","FCFA/kg","2021M4","285"
"Prix au producteur","Riz local décortiqué","DIOURBEL","FCFA/kg","2021M5","270"
"Prix au producteur","Riz local décortiqué","DIOURBEL","FCFA/kg","2021M6","325"
"Prix au producteur","Riz local décortiqué","DIOURBEL","FCFA/kg","2021M7","263"
"Prix au producteur","Riz local décortiqué","DIOURBEL","FCFA/kg","2021M8","330"
"Prix au producteur","Riz local décortiqué","DIOURBEL","FCFA/kg","2021M9","293"
"Prix au producteur","Riz local décortiqué","DIOURBEL","FCFA/kg","2021M10","358"
"Prix au producteur","Riz local décortiqué","DIOURBEL","FCFA/kg","2021M11","368"
"Prix au producteur","Riz local décortiqué","DIOURBEL","FCFA/kg","2021M12","357"
"Prix au producteur","Riz local décortiqué","DIOURBEL","FCFA/kg","2022M1","360"
"Prix au producteur","Riz local décortiqué","DIOURBEL","FCFA/kg","2022M2","360"
"Prix au producteur","Riz local décortiqué","DIOURBEL","FCFA/kg","2022M3","364.166666666667"
"Prix au producteur","Riz local décortiqué","DIOURBEL","FCFA/kg","2022M4","337.5"
"Prix au producteur","Riz local décortiqué","DIOURBEL","FCFA/kg","2022M5","350"
"Prix au producteur","Riz local décortiqué","DIOURBEL","FCFA/kg","2022M6","350.833333333333"
"Prix au producteur","Riz local décortiqué","DIOURBEL","FCFA/kg","2022M7","355"
"Prix au producteur","Riz local décortiqué","DIOURBEL","FCFA/kg","2022M8","348.75"
"Prix au producteur","Riz local décortiqué","DIOURBEL","FCFA/kg","2022M9","343.75"
"Prix au producteur","Riz local décortiqué","DIOURBEL","FCFA/kg","2022M10","411.666666666667"
"Prix au producteur","Riz local décortiqué","DIOURBEL","FCFA/kg","2022M11","425"
"Prix au producteur","Riz local décortiqué","DIOURBEL","FCFA/kg","2022M12","420.833333333333"
"Prix au producteur","Riz local décortiqué","DIOURBEL","FCFA/kg","2023M1","425"
"Prix au producteur","Riz local décortiqué","DIOURBEL","FCFA/kg","2023M2","408.333333333333"
"Prix au producteur","Riz local décortiqué","DIOURBEL","FCFA/kg","2023M3","443.75"
"Prix au producteur","Riz local décortiqué","DIOURBEL","FCFA/kg","2023M4","400"
"Prix au producteur","Riz local décortiqué","DIOURBEL","FCFA/kg","2023M5","397.5"
"Prix au producteur","Riz local décortiqué","DIOURBEL","FCFA/kg","2023M6","396.666666666667"
"Prix au producteur","Riz local décortiqué","DIOURBEL","FCFA/kg","2023M7","412.5"
"Prix au producteur","Riz local décortiqué","DIOURBEL","FCFA/kg","2023M8","415"
"Prix au producteur","Riz local décortiqué","KAOLACK","FCFA/kg","2016M1","288.333333333333"
"Prix au producteur","Riz local décortiqué","KAOLACK","FCFA/kg","2016M2","290"
"Prix au producteur","Riz local décortiqué","KAOLACK","FCFA/kg","2016M3","290"
"Prix au producteur","Riz local décortiqué","KAOLACK","FCFA/kg","2016M4","280"
"Prix au producteur","Riz local décortiqué","KAOLACK","FCFA/kg","2016M5","286.666666666667"
"Prix au producteur","Riz local décortiqué","KAOLACK","FCFA/kg","2016M6","277.5"
"Prix au producteur","Riz local décortiqué","KAOLACK","FCFA/kg","2016M7","290"
"Prix au producteur","Riz local décortiqué","KAOLACK","FCFA/kg","2016M8","281.25"
"Prix au producteur","Riz local décortiqué","KAOLACK","FCFA/kg","2016M9","273"
"Prix au producteur","Riz local décortiqué","KAOLACK","FCFA/kg","2016M10","260"
"Prix au producteur","Riz local décortiqué","KAOLACK","FCFA/kg","2016M11","280"
"Prix au producteur","Riz local décortiqué","KAOLACK","FCFA/kg","2016M12","260"
"Prix au producteur","Riz local décortiqué","KAOLACK","FCFA/kg","2017M1","286.666666666667"
"Prix au producteur","Riz local décortiqué","KAOLACK","FCFA/kg","2017M2","265"
"Prix au producteur","Riz local décortiqué","KAOLACK","FCFA/kg","2017M3","270"
"Prix au producteur","Riz local décortiqué","KAOLACK","FCFA/kg","2017M4","268"
"Prix au producteur","Riz local décortiqué","KAOLACK","FCFA/kg","2017M5","260"
"Prix au producteur","Riz local décortiqué","KAOLACK","FCFA/kg","2017M6","280"
"Prix au producteur","Riz local décortiqué","KAOLACK","FCFA/kg","2017M7","267.5"
"Prix au producteur","Riz local décortiqué","KAOLACK","FCFA/kg","2017M8","287"
"Prix au producteur","Riz local décortiqué","KAOLACK","FCFA/kg","2017M9","290"
"Prix au producteur","Riz local décortiqué","KAOLACK","FCFA/kg","2017M10","280"
"Prix au producteur","Riz local décortiqué","KAOLACK","FCFA/kg","2017M11","300"
"Prix au producteur","Riz local décortiqué","KAOLACK","FCFA/kg","2017M12","290"
"Prix au producteur","Riz local décortiqué","KAOLACK","FCFA/kg","2018M1","300"
"Prix au producteur","Riz local décortiqué","KAOLACK","FCFA/kg","2018M2","291.666666666667"
"Prix au producteur","Riz local décortiqué","KAOLACK","FCFA/kg","2018M3","300"
"Prix au producteur","Riz local décortiqué","KAOLACK","FCFA/kg","2018M4","350"
"Prix au producteur","Riz local décortiqué","KAOLACK","FCFA/kg","2018M5","295"
"Prix au producteur","Riz local décortiqué","KAOLACK","FCFA/kg","2018M6","300"
"Prix au producteur","Riz local décortiqué","KAOLACK","FCFA/kg","2018M7","300"
"Prix au producteur","Riz local décortiqué","KAOLACK","FCFA/kg","2018M8","310"
"Prix au producteur","Riz local décortiqué","KAOLACK","FCFA/kg","2018M9","300"
"Prix au producteur","Riz local décortiqué","KAOLACK","FCFA/kg","2018M10","255.75"
"Prix au producteur","Riz local décortiqué","KAOLACK","FCFA/kg","2018M11","325"
"Prix au producteur","Riz local décortiqué","KAOLACK","FCFA/kg","2018M12","300"
"Prix au producteur","Riz local décortiqué","KAOLACK","FCFA/kg","2019M1","300"
"Prix au producteur","Riz local décortiqué","KAOLACK","FCFA/kg","2019M2","450"
"Prix au producteur","Riz local décortiqué","KAOLACK","FCFA/kg","2019M3","300"
"Prix au producteur","Riz local décortiqué","KAOLACK","FCFA/kg","2019M4","300"
"Prix au producteur","Riz local décortiqué","KAOLACK","FCFA/kg","2019M5","320"
"Prix au producteur","Riz local décortiqué","KAOLACK","FCFA/kg","2019M6","350"
"Prix au producteur","Riz local décortiqué","KAOLACK","FCFA/kg","2019M7","350"
"Prix au producteur","Riz local décortiqué","KAOLACK","FCFA/kg","2019M8","338"
"Prix au producteur","Riz local décortiqué","KAOLACK","FCFA/kg","2019M9","350"
"Prix au producteur","Riz local décortiqué","KAOLACK","FCFA/kg","2019M10","337.5"
"Prix au producteur","Riz local décortiqué","KAOLACK","FCFA/kg","2019M11","350"
"Prix au producteur","Riz local décortiqué","KAOLACK","FCFA/kg","2019M12","300"
"Prix au producteur","Riz local décortiqué","KAOLACK","FCFA/kg","2020M1","330"
"Prix au producteur","Riz local décortiqué","KAOLACK","FCFA/kg","2020M2","350"
"Prix au producteur","Riz local décortiqué","KAOLACK","FCFA/kg","2020M3","350"
"Prix au producteur","Riz local décortiqué","KAOLACK","FCFA/kg","2020M4","350"
"Prix au producteur","Riz local décortiqué","KAOLACK","FCFA/kg","2020M5","350"
"Prix au producteur","Riz local décortiqué","KAOLACK","FCFA/kg","2020M6","350"
"Prix au producteur","Riz local décortiqué","KAOLACK","FCFA/kg","2020M7","305"
"Prix au producteur","Riz local décortiqué","KAOLACK","FCFA/kg","2020M8","300"
"Prix au producteur","Riz local décortiqué","KAOLACK","FCFA/kg","2020M10","305"
"Prix au producteur","Riz local décortiqué","KAOLACK","FCFA/kg","2020M11","300"
"Prix au producteur","Riz local décortiqué","KAOLACK","FCFA/kg","2020M12","300"
"Prix au producteur","Riz local décortiqué","KAOLACK","FCFA/kg","2021M1","318.75"
"Prix au producteur","Riz local décortiqué","KAOLACK","FCFA/kg","2021M2","325"
"Prix au producteur","Riz local décortiqué","KAOLACK","FCFA/kg","2021M3","325"
"Prix au producteur","Riz local décortiqué","KAOLACK","FCFA/kg","2021M4","325"
"Prix au producteur","Riz local décortiqué","KAOLACK","FCFA/kg","2021M5","325"
"Prix au producteur","Riz local décortiqué","KAOLACK","FCFA/kg","2021M6","325"
"Prix au producteur","Riz local décortiqué","KAOLACK","FCFA/kg","2021M7","325"
"Prix au producteur","Riz local décortiqué","KAOLACK","FCFA/kg","2021M8","325"
"Prix au producteur","Riz local décortiqué","KAOLACK","FCFA/kg","2021M9","350"
"Prix au producteur","Riz local décortiqué","KAOLACK","FCFA/kg","2021M10","350"
"Prix au producteur","Riz local décortiqué","KAOLACK","FCFA/kg","2021M11","350"
"Prix au producteur","Riz local décortiqué","KAOLACK","FCFA/kg","2021M12","343"
"Prix au producteur","Riz local décortiqué","KAOLACK","FCFA/kg","2022M1","350"
"Prix au producteur","Riz local décortiqué","KAOLACK","FCFA/kg","2022M2","345"
"Prix au producteur","Riz local décortiqué","KAOLACK","FCFA/kg","2022M3","350"
"Prix au producteur","Riz local décortiqué","KAOLACK","FCFA/kg","2022M4","343.75"
"Prix au producteur","Riz local décortiqué","KAOLACK","FCFA/kg","2022M5","362.5"
"Prix au producteur","Riz local décortiqué","KAOLACK","FCFA/kg","2022M6","450"
"Prix au producteur","Riz local décortiqué","KAOLACK","FCFA/kg","2022M7","450"
"Prix au producteur","Riz local décortiqué","KAOLACK","FCFA/kg","2022M8","425"
"Prix au producteur","Riz local décortiqué","KAOLACK","FCFA/kg","2022M9","450"
"Prix au producteur","Riz local décortiqué","KAOLACK","FCFA/kg","2022M10","450"
"Prix au producteur","Riz local décortiqué","KAOLACK","FCFA/kg","2022M11","450"
"Prix au producteur","Riz local décortiqué","KAOLACK","FCFA/kg","2022M12","450"
"Prix au producteur","Riz local décortiqué","KAOLACK","FCFA/kg","2023M1","450"
"Prix au producteur","Riz local décortiqué","KAOLACK","FCFA/kg","2023M2","450"
"Prix au producteur","Riz local décortiqué","KAOLACK","FCFA/kg","2023M3","450"
"Prix au producteur","Riz local décortiqué","KAOLACK","FCFA/kg","2023M4","450"
"Prix au producteur","Riz local décortiqué","KAOLACK","FCFA/kg","2023M5","450"
"Prix au producteur","Riz local décortiqué","KAOLACK","FCFA/kg","2023M6","450"
"Prix au producteur","Riz local décortiqué","KAOLACK","FCFA/kg","2023M7","450"
"Prix au producteur","Riz local décortiqué","KAOLACK","FCFA/kg","2023M8","450"
"Prix au producteur","Riz local décortiqué","KEDOUGOU","FCFA/kg","2021M7","350"
"Prix au producteur","Riz local décortiqué","KEDOUGOU","FCFA/kg","2022M10","400"
"Prix au producteur","Riz local décortiqué","KEDOUGOU","FCFA/kg","2023M7","400"
"Prix au producteur","Riz local décortiqué","KOLDA","FCFA/kg","2016M1","375"
"Prix au producteur","Riz local décortiqué","KOLDA","FCFA/kg","2016M2","400"
"Prix au producteur","Riz local décortiqué","KOLDA","FCFA/kg","2016M4","365"
"Prix au producteur","Riz local décortiqué","KOLDA","FCFA/kg","2016M7","400"
"Prix au producteur","Riz local décortiqué","KOLDA","FCFA/kg","2016M11","276.666666666667"
"Prix au producteur","Riz local décortiqué","KOLDA","FCFA/kg","2016M12","271.666666666667"
"Prix au producteur","Riz local décortiqué","KOLDA","FCFA/kg","2017M1","270"
"Prix au producteur","Riz local décortiqué","KOLDA","FCFA/kg","2017M2","261.666666666667"
"Prix au producteur","Riz local décortiqué","KOLDA","FCFA/kg","2017M3","275"
"Prix au producteur","Riz local décortiqué","KOLDA","FCFA/kg","2017M4","275"
"Prix au producteur","Riz local décortiqué","KOLDA","FCFA/kg","2017M5","270"
"Prix au producteur","Riz local décortiqué","KOLDA","FCFA/kg","2017M8","287.5"
"Prix au producteur","Riz local décortiqué","KOLDA","FCFA/kg","2017M9","275"
"Prix au producteur","Riz local décortiqué","KOLDA","FCFA/kg","2017M10","275"
"Prix au producteur","Riz local décortiqué","KOLDA","FCFA/kg","2017M11","320"
"Prix au producteur","Riz local décortiqué","KOLDA","FCFA/kg","2018M1","275"
"Prix au producteur","Riz local décortiqué","KOLDA","FCFA/kg","2018M2","300"
"Prix au producteur","Riz local décortiqué","KOLDA","FCFA/kg","2018M3","392.5"
"Prix au producteur","Riz local décortiqué","KOLDA","FCFA/kg","2018M4","275"
"Prix au producteur","Riz local décortiqué","KOLDA","FCFA/kg","2018M5","273.333333333333"
"Prix au producteur","Riz local décortiqué","KOLDA","FCFA/kg","2018M6","275"
"Prix au producteur","Riz local décortiqué","KOLDA","FCFA/kg","2018M7","300"
"Prix au producteur","Riz local décortiqué","KOLDA","FCFA/kg","2018M8","300"
"Prix au producteur","Riz local décortiqué","KOLDA","FCFA/kg","2018M9","290"
"Prix au producteur","Riz local décortiqué","KOLDA","FCFA/kg","2018M10","291.666666666667"
"Prix au producteur","Riz local décortiqué","KOLDA","FCFA/kg","2018M11","300"
"Prix au producteur","Riz local décortiqué","KOLDA","FCFA/kg","2018M12","300"
"Prix au producteur","Riz local décortiqué","KOLDA","FCFA/kg","2019M1","300"
"Prix au producteur","Riz local décortiqué","KOLDA","FCFA/kg","2019M2","300"
"Prix au producteur","Riz local décortiqué","KOLDA","FCFA/kg","2019M3","300"
"Prix au producteur","Riz local décortiqué","KOLDA","FCFA/kg","2019M4","300"
"Prix au producteur","Riz local décortiqué","KOLDA","FCFA/kg","2019M5","300"
"Prix au producteur","Riz local décortiqué","KOLDA","FCFA/kg","2019M6","300"
"Prix au producteur","Riz local décortiqué","KOLDA","FCFA/kg","2019M7","300"
"Prix au producteur","Riz local décortiqué","KOLDA","FCFA/kg","2019M8","304"
"Prix au producteur","Riz local décortiqué","KOLDA","FCFA/kg","2019M9","306.666666666667"
"Prix au producteur","Riz local décortiqué","KOLDA","FCFA/kg","2019M10","300"
"Prix au producteur","Riz local décortiqué","KOLDA","FCFA/kg","2019M12","320"
"Prix au producteur","Riz local décortiqué","KOLDA","FCFA/kg","2020M1","330"
"Prix au producteur","Riz local décortiqué","KOLDA","FCFA/kg","2020M2","258"
"Prix au producteur","Riz local décortiqué","KOLDA","FCFA/kg","2020M3","340"
"Prix au producteur","Riz local décortiqué","KOLDA","FCFA/kg","2020M4","340"
"Prix au producteur","Riz local décortiqué","KOLDA","FCFA/kg","2020M5","325"
"Prix au producteur","Riz local décortiqué","KOLDA","FCFA/kg","2020M6","325"
"Prix au producteur","Riz local décortiqué","KOLDA","FCFA/kg","2020M11","380"
"Prix au producteur","Riz local décortiqué","KOLDA","FCFA/kg","2020M12","350"
"Prix au producteur","Riz local décortiqué","KOLDA","FCFA/kg","2021M1","385"
"Prix au producteur","Riz local décortiqué","KOLDA","FCFA/kg","2021M2","400"
"Prix au producteur","Riz local décortiqué","KOLDA","FCFA/kg","2021M3","300"
"Prix au producteur","Riz local décortiqué","KOLDA","FCFA/kg","2021M4","300"
"Prix au producteur","Riz local décortiqué","KOLDA","FCFA/kg","2021M5","337.5"
"Prix au producteur","Riz local décortiqué","KOLDA","FCFA/kg","2021M6","325"
"Prix au producteur","Riz local décortiqué","KOLDA","FCFA/kg","2021M7","340"
"Prix au producteur","Riz local décortiqué","KOLDA","FCFA/kg","2021M8","325"
"Prix au producteur","Riz local décortiqué","KOLDA","FCFA/kg","2021M10","275"
"Prix au producteur","Riz local décortiqué","KOLDA","FCFA/kg","2021M11","325"
"Prix au producteur","Riz local décortiqué","KOLDA","FCFA/kg","2021M12","323"
"Prix au producteur","Riz local décortiqué","KOLDA","FCFA/kg","2022M1","325"
"Prix au producteur","Riz local décortiqué","KOLDA","FCFA/kg","2022M2","325"
"Prix au producteur","Riz local décortiqué","KOLDA","FCFA/kg","2022M3","325"
"Prix au producteur","Riz local décortiqué","KOLDA","FCFA/kg","2022M4","341.666666666667"
"Prix au producteur","Riz local décortiqué","KOLDA","FCFA/kg","2022M5","350"
"Prix au producteur","Riz local décortiqué","KOLDA","FCFA/kg","2022M6","365"
"Prix au producteur","Riz local décortiqué","KOLDA","FCFA/kg","2022M7","350"
"Prix au producteur","Riz local décortiqué","KOLDA","FCFA/kg","2022M8","370"
"Prix au producteur","Riz local décortiqué","KOLDA","FCFA/kg","2022M9","387.5"
"Prix au producteur","Riz local décortiqué","KOLDA","FCFA/kg","2022M10","406.25"
"Prix au producteur","Riz local décortiqué","KOLDA","FCFA/kg","2022M11","475"
"Prix au producteur","Riz local décortiqué","KOLDA","FCFA/kg","2022M12","436.666666666667"
"Prix au producteur","Riz local décortiqué","KOLDA","FCFA/kg","2023M1","412.5"
"Prix au producteur","Riz local décortiqué","KOLDA","FCFA/kg","2023M2","408.333333333333"
"Prix au producteur","Riz local décortiqué","KOLDA","FCFA/kg","2023M3","400"
"Prix au producteur","Riz local décortiqué","KOLDA","FCFA/kg","2023M4","410"
"Prix au producteur","Riz local décortiqué","KOLDA","FCFA/kg","2023M5","425"
"Prix au producteur","Riz local décortiqué","KOLDA","FCFA/kg","2023M6","458.333333333333"
"Prix au producteur","Riz local décortiqué","KOLDA","FCFA/kg","2023M7","450"
"Prix au producteur","Riz local décortiqué","KOLDA","FCFA/kg","2023M8","450"
"Prix au producteur","Riz local décortiqué","LOUGA","FCFA/kg","2016M1","247.777777777778"
"Prix au producteur","Riz local décortiqué","LOUGA","FCFA/kg","2016M2","248.571428571429"
"Prix au producteur","Riz local décortiqué","LOUGA","FCFA/kg","2016M3","249.090909090909"
"Prix au producteur","Riz local décortiqué","LOUGA","FCFA/kg","2016M4","258.333333333333"
"Prix au producteur","Riz local décortiqué","LOUGA","FCFA/kg","2016M5","300"
"Prix au producteur","Riz local décortiqué","LOUGA","FCFA/kg","2016M8","247.142857142857"
"Prix au producteur","Riz local décortiqué","LOUGA","FCFA/kg","2016M9","250"
"Prix au producteur","Riz local décortiqué","LOUGA","FCFA/kg","2016M10","250"
"Prix au producteur","Riz local décortiqué","LOUGA","FCFA/kg","2016M11","250"
"Prix au producteur","Riz local décortiqué","LOUGA","FCFA/kg","2016M12","250.555555555556"
"Prix au producteur","Riz local décortiqué","LOUGA","FCFA/kg","2017M1","244.285714285714"
"Prix au producteur","Riz local décortiqué","LOUGA","FCFA/kg","2017M2","245"
"Prix au producteur","Riz local décortiqué","LOUGA","FCFA/kg","2017M3","251.666666666667"
"Prix au producteur","Riz local décortiqué","LOUGA","FCFA/kg","2017M4","262.5"
"Prix au producteur","Riz local décortiqué","LOUGA","FCFA/kg","2017M7","250"
"Prix au producteur","Riz local décortiqué","LOUGA","FCFA/kg","2017M8","248"
"Prix au producteur","Riz local décortiqué","LOUGA","FCFA/kg","2017M9","247.5"
"Prix au producteur","Riz local décortiqué","LOUGA","FCFA/kg","2017M10","260"
"Prix au producteur","Riz local décortiqué","LOUGA","FCFA/kg","2017M11","268.333333333333"
"Prix au producteur","Riz local décortiqué","LOUGA","FCFA/kg","2017M12","270"
"Prix au producteur","Riz local décortiqué","LOUGA","FCFA/kg","2018M1","261.25"
"Prix au producteur","Riz local décortiqué","LOUGA","FCFA/kg","2018M2","255.555555555556"
"Prix au producteur","Riz local décortiqué","LOUGA","FCFA/kg","2018M3","400"
"Prix au producteur","Riz local décortiqué","LOUGA","FCFA/kg","2018M4","265"
"Prix au producteur","Riz local décortiqué","LOUGA","FCFA/kg","2018M5","245"
"Prix au producteur","Riz local décortiqué","LOUGA","FCFA/kg","2018M6","245"
"Prix au producteur","Riz local décortiqué","LOUGA","FCFA/kg","2018M7","246.666666666667"
"Prix au producteur","Riz local décortiqué","LOUGA","FCFA/kg","2018M8","245"
"Prix au producteur","Riz local décortiqué","LOUGA","FCFA/kg","2018M9","245"
"Prix au producteur","Riz local décortiqué","LOUGA","FCFA/kg","2018M10","251.25"
"Prix au producteur","Riz local décortiqué","LOUGA","FCFA/kg","2018M11","257.5"
"Prix au producteur","Riz local décortiqué","LOUGA","FCFA/kg","2018M12","250"
"Prix au producteur","Riz local décortiqué","LOUGA","FCFA/kg","2019M1","303.333333333333"
"Prix au producteur","Riz local décortiqué","LOUGA","FCFA/kg","2019M2","298.333333333333"
"Prix au producteur","Riz local décortiqué","LOUGA","FCFA/kg","2019M3","300"
"Prix au producteur","Riz local décortiqué","LOUGA","FCFA/kg","2019M4","298.75"
"Prix au producteur","Riz local décortiqué","LOUGA","FCFA/kg","2019M5","316.666666666667"
"Prix au producteur","Riz local décortiqué","LOUGA","FCFA/kg","2019M6","312.5"
"Prix au producteur","Riz local décortiqué","LOUGA","FCFA/kg","2019M7","311.111111111111"
"Prix au producteur","Riz local décortiqué","LOUGA","FCFA/kg","2019M8","310"
"Prix au producteur","Riz local décortiqué","LOUGA","FCFA/kg","2019M9","332.5"
"Prix au producteur","Riz local décortiqué","LOUGA","FCFA/kg","2019M10","312.5"
"Prix au producteur","Riz local décortiqué","LOUGA","FCFA/kg","2019M11","312.5"
"Prix au producteur","Riz local décortiqué","LOUGA","FCFA/kg","2019M12","265.625"
"Prix au producteur","Riz local décortiqué","LOUGA","FCFA/kg","2020M1","250"
"Prix au producteur","Riz local décortiqué","LOUGA","FCFA/kg","2020M2","250"
"Prix au producteur","Riz local décortiqué","LOUGA","FCFA/kg","2020M3","250"
"Prix au producteur","Riz local décortiqué","LOUGA","FCFA/kg","2020M4","250"
"Prix au producteur","Riz local décortiqué","LOUGA","FCFA/kg","2020M5","275"
"Prix au producteur","Riz local décortiqué","LOUGA","FCFA/kg","2020M6","275"
"Prix au producteur","Riz local décortiqué","LOUGA","FCFA/kg","2020M7","296.428571428571"
"Prix au producteur","Riz local décortiqué","LOUGA","FCFA/kg","2020M8","304.285714285714"
"Prix au producteur","Riz local décortiqué","LOUGA","FCFA/kg","2020M9","300"
"Prix au producteur","Riz local décortiqué","LOUGA","FCFA/kg","2020M10","296.111111111111"
"Prix au producteur","Riz local décortiqué","LOUGA","FCFA/kg","2020M11","295.714285714286"
"Prix au producteur","Riz local décortiqué","LOUGA","FCFA/kg","2020M12","295.555555555556"
"Prix au producteur","Riz local décortiqué","LOUGA","FCFA/kg","2021M2","309"
"Prix au producteur","Riz local décortiqué","LOUGA","FCFA/kg","2021M3","283.75"
"Prix au producteur","Riz local décortiqué","LOUGA","FCFA/kg","2021M4","265"
"Prix au producteur","Riz local décortiqué","LOUGA","FCFA/kg","2021M5","290"
"Prix au producteur","Riz local décortiqué","LOUGA","FCFA/kg","2021M6","283.333333333333"
"Prix au producteur","Riz local décortiqué","LOUGA","FCFA/kg","2021M7","257"
"Prix au producteur","Riz local décortiqué","LOUGA","FCFA/kg","2021M8","300"
"Prix au producteur","Riz local décortiqué","LOUGA","FCFA/kg","2021M9","310"
"Prix au producteur","Riz local décortiqué","LOUGA","FCFA/kg","2021M10","310"
"Prix au producteur","Riz local décortiqué","LOUGA","FCFA/kg","2021M11","317"
"Prix au producteur","Riz local décortiqué","LOUGA","FCFA/kg","2021M12","300"
"Prix au producteur","Riz local décortiqué","LOUGA","FCFA/kg","2022M2","325"
"Prix au producteur","Riz local décortiqué","LOUGA","FCFA/kg","2022M3","345"
"Prix au producteur","Riz local décortiqué","LOUGA","FCFA/kg","2022M4","345"
"Prix au producteur","Riz local décortiqué","LOUGA","FCFA/kg","2022M5","387.777777777778"
"Prix au producteur","Riz local décortiqué","LOUGA","FCFA/kg","2022M6","430.555555555556"
"Prix au producteur","Riz local décortiqué","LOUGA","FCFA/kg","2022M7","437.5"
"Prix au producteur","Riz local décortiqué","LOUGA","FCFA/kg","2022M8","415.625"
"Prix au producteur","Riz local décortiqué","LOUGA","FCFA/kg","2022M9","412.5"
"Prix au producteur","Riz local décortiqué","LOUGA","FCFA/kg","2022M10","425"
"Prix au producteur","Riz local décortiqué","LOUGA","FCFA/kg","2022M11","425"
"Prix au producteur","Riz local décortiqué","LOUGA","FCFA/kg","2022M12","400"
"Prix au producteur","Riz local décortiqué","LOUGA","FCFA/kg","2023M1","400"
"Prix au producteur","Riz local décortiqué","LOUGA","FCFA/kg","2023M2","400"
"Prix au producteur","Riz local décortiqué","LOUGA","FCFA/kg","2023M3","400"
"Prix au producteur","Riz local décortiqué","LOUGA","FCFA/kg","2023M4","400"
"Prix au producteur","Riz local décortiqué","LOUGA","FCFA/kg","2023M5","350"
"Prix au producteur","Riz local décortiqué","LOUGA","FCFA/kg","2023M6","350"
"Prix au producteur","Riz local décortiqué","LOUGA","FCFA/kg","2023M7","350"
"Prix au producteur","Riz local décortiqué","LOUGA","FCFA/kg","2023M8","350"
"Prix au producteur","Riz local décortiqué","MATAM","FCFA/kg","2016M1","255"
"Prix au producteur","Riz local décortiqué","MATAM","FCFA/kg","2016M5","257.5"
"Prix au producteur","Riz local décortiqué","MATAM","FCFA/kg","2016M6","260"
"Prix au producteur","Riz local décortiqué","MATAM","FCFA/kg","2016M7","270"
"Prix au producteur","Riz local décortiqué","MATAM","FCFA/kg","2016M9","270"
"Prix au producteur","Riz local décortiqué","MATAM","FCFA/kg","2016M10","285"
"Prix au producteur","Riz local décortiqué","MATAM","FCFA/kg","2016M11","271.666666666667"
